Name=Ipr-low (1)
X=Bias V, V
Y=Ipr-low, nA
-5; -49,99
-4,99; -49,99
-4,98; -49,99
-4,97; -49,99
-4,96; -49,99
-4,95; -49,99
-4,94; -49,99
-4,93; -49,99
-4,92; -49,99
-4,91; -49,99
-4,9; -49,99
-4,89; -49,99
-4,88; -49,99
-4,87; -49,99
-4,86; -49,99
-4,85; -49,99
-4,84; -49,99
-4,83; -49,99
-4,82; -49,99
-4,81; -49,99
-4,8; -49,99
-4,79; -49,99
-4,78; -49,99
-4,77; -49,99
-4,76; -49,99
-4,75; -49,99
-4,74; -49,99
-4,73; -49,99
-4,72; -49,99
-4,71; -49,99
-4,7; -49,99
-4,69; -49,99
-4,68; -49,99
-4,67; -49,99
-4,66; -49,99
-4,65; -49,99
-4,64; -49,99
-4,63; -49,99
-4,62; -49,99
-4,61; -49,99
-4,6; -49,99
-4,59; -49,99
-4,58; -49,99
-4,57; -49,99
-4,56; -49,99
-4,55; -49,99
-4,54; -49,99
-4,53; -49,99
-4,52; -49,99
-4,51; -49,99
-4,5; -49,99
-4,49; -49,99
-4,48; -49,99
-4,47; -49,99
-4,46; -49,99
-4,45; -49,99
-4,44; -49,99
-4,43; -49,99
-4,42; -49,99
-4,41; -49,99
-4,4; -49,99
-4,39; -49,99
-4,38; -49,99
-4,37; -49,99
-4,359; -49,99
-4,349; -49,99
-4,339; -49,99
-4,329; -49,99
-4,319; -49,99
-4,309; -49,99
-4,299; -49,99
-4,289; -49,99
-4,279; -49,99
-4,269; -49,99
-4,259; -49,99
-4,249; -49,99
-4,239; -49,99
-4,229; -49,99
-4,219; -49,99
-4,209; -49,99
-4,199; -49,99
-4,189; -49,99
-4,179; -49,99
-4,169; -49,99
-4,159; -49,99
-4,149; -49,99
-4,139; -49,99
-4,129; -49,99
-4,119; -49,99
-4,109; -49,99
-4,099; -49,99
-4,089; -49,99
-4,079; -49,99
-4,069; -49,99
-4,059; -49,99
-4,049; -49,99
-4,039; -49,99
-4,029; -49,99
-4,019; -49,99
-4,009; -49,99
-3,999; -49,99
-3,989; -49,99
-3,979; -49,99
-3,969; -49,99
-3,959; -49,99
-3,949; -49,99
-3,939; -49,99
-3,929; -49,99
-3,919; -49,99
-3,909; -49,99
-3,899; -49,99
-3,889; -49,99
-3,879; -49,99
-3,869; -49,99
-3,859; -49,99
-3,849; -49,99
-3,839; -49,99
-3,829; -49,99
-3,819; -49,99
-3,809; -49,99
-3,799; -49,99
-3,789; -49,99
-3,779; -49,99
-3,769; -49,99
-3,759; -49,99
-3,749; -49,99
-3,739; -49,99
-3,729; -49,99
-3,719; -49,99
-3,709; -49,99
-3,699; -49,99
-3,689; -49,99
-3,679; -49,99
-3,669; -49,99
-3,659; -49,99
-3,649; -49,99
-3,639; -49,99
-3,629; -49,99
-3,619; -49,99
-3,609; -49,99
-3,599; -49,99
-3,589; -49,99
-3,579; -49,99
-3,569; -49,99
-3,559; -49,99
-3,549; -49,99
-3,539; -49,99
-3,529; -49,99
-3,519; -49,99
-3,509; -49,99
-3,499; -49,99
-3,489; -49,99
-3,479; -49,99
-3,469; -49,99
-3,459; -49,99
-3,449; -49,99
-3,439; -49,99
-3,429; -49,99
-3,419; -49,99
-3,409; -49,99
-3,399; -49,99
-3,388; -49,99
-3,378; -49,99
-3,368; -49,99
-3,358; -49,99
-3,348; -49,99
-3,338; -49,99
-3,328; -49,99
-3,318; -49,99
-3,308; -49,99
-3,298; -49,99
-3,288; -49,99
-3,278; -49,99
-3,268; -49,99
-3,258; -49,99
-3,248; -49,99
-3,238; -49,99
-3,228; -49,99
-3,218; -49,99
-3,208; -49,99
-3,198; -49,99
-3,188; -49,99
-3,178; -49,99
-3,168; -49,99
-3,158; -49,99
-3,148; -49,99
-3,138; -49,99
-3,128; -49,99
-3,118; -49,99
-3,108; -49,99
-3,098; -49,99
-3,088; -49,99
-3,078; -49,99
-3,068; -49,99
-3,058; -49,99
-3,048; -49,99
-3,038; -49,99
-3,028; -49,99
-3,018; -49,99
-3,008; -49,99
-2,998; -49,99
-2,988; -49,99
-2,978; -49,99
-2,968; -49,99
-2,958; -49,99
-2,948; -49,99
-2,938; -49,99
-2,928; -49,99
-2,918; -49,99
-2,908; -49,99
-2,898; -49,99
-2,888; -49,99
-2,878; -49,99
-2,868; -49,99
-2,858; -49,99
-2,848; -49,99
-2,838; -49,99
-2,828; -49,99
-2,818; -49,99
-2,808; -49,99
-2,798; -49,99
-2,788; -49,99
-2,778; -49,99
-2,768; -49,99
-2,758; -49,99
-2,748; -49,99
-2,738; -49,99
-2,728; -49,99
-2,718; -49,99
-2,708; -49,99
-2,698; -49,99
-2,688; -49,99
-2,678; -49,99
-2,668; -49,99
-2,658; -49,99
-2,648; -49,99
-2,638; -49,99
-2,628; -49,99
-2,618; -49,99
-2,608; -49,99
-2,598; -49,99
-2,588; -49,99
-2,578; -49,99
-2,568; -49,99
-2,558; -49,99
-2,548; -49,99
-2,538; -49,99
-2,528; -49,99
-2,518; -49,99
-2,508; -49,99
-2,498; -49,99
-2,488; -49,99
-2,478; -49,99
-2,468; -49,99
-2,458; -49,99
-2,448; -49,99
-2,438; -49,99
-2,428; -49,99
-2,417; -49,99
-2,407; -49,99
-2,397; -49,99
-2,387; -49,99
-2,377; -49,99
-2,367; -49,99
-2,357; -49,99
-2,347; -49,99
-2,337; -49,99
-2,327; -49,99
-2,317; -49,99
-2,307; -49,99
-2,297; -49,99
-2,287; -49,99
-2,277; -49,99
-2,267; -49,99
-2,257; -49,99
-2,247; -49,99
-2,237; -49,99
-2,227; -49,99
-2,217; -49,99
-2,207; -49,99
-2,197; -49,99
-2,187; -49,99
-2,177; -49,99
-2,167; -49,99
-2,157; -49,99
-2,147; -49,99
-2,137; -49,99
-2,127; -49,99
-2,117; -49,99
-2,107; -49,99
-2,097; -49,99
-2,087; -49,99
-2,077; -49,99
-2,067; -49,99
-2,057; -49,99
-2,047; -49,99
-2,037; -49,99
-2,027; -49,99
-2,017; -49,99
-2,007; -49,99
-1,997; -49,99
-1,987; -49,99
-1,977; -49,99
-1,967; -49,99
-1,957; -49,99
-1,947; -49,99
-1,937; -49,99
-1,927; -49,99
-1,917; -49,99
-1,907; -49,99
-1,897; -49,99
-1,887; -49,99
-1,877; -49,99
-1,867; -49,99
-1,857; -49,99
-1,847; -49,99
-1,837; -49,99
-1,827; -49,99
-1,817; -49,99
-1,807; -49,99
-1,797; -49,99
-1,787; -49,99
-1,777; -49,99
-1,767; -49,99
-1,757; -49,99
-1,747; -49,99
-1,737; -48,65
-1,727; -47,08
-1,717; -46,81
-1,707; -49,29
-1,697; -47,87
-1,687; -46,29
-1,677; -45,45
-1,667; -46,44
-1,657; -45,8
-1,647; -45,11
-1,637; -49,99
-1,627; -49,99
-1,617; -48,93
-1,607; -47,53
-1,597; -49,99
-1,587; -49,99
-1,577; -49,99
-1,567; -49,99
-1,557; -46,23
-1,547; -45,96
-1,537; -42,53
-1,527; -42,68
-1,517; -44,31
-1,507; -49,99
-1,497; -49,45
-1,487; -42,88
-1,477; -43,68
-1,467; -46,45
-1,457; -38,47
-1,446; -33,98
-1,436; -31,45
-1,426; -31,39
-1,416; -37,1
-1,406; -36,14
-1,396; -36,01
-1,386; -37,26
-1,376; -38,91
-1,366; -43,45
-1,356; -44,34
-1,346; -43,77
-1,336; -44,27
-1,326; -45,74
-1,316; -39,46
-1,306; -36,08
-1,296; -32,25
-1,286; -30,94
-1,276; -31,35
-1,266; -29,34
-1,256; -28,08
-1,246; -27,42
-1,236; -26,8
-1,226; -25,15
-1,216; -24,46
-1,206; -23,36
-1,196; -23,6
-1,186; -23,19
-1,176; -22,43
-1,166; -21,16
-1,156; -20,94
-1,146; -20,96
-1,136; -20,44
-1,126; -18,73
-1,116; -18,41
-1,106; -17,92
-1,096; -17,02
-1,086; -16,74
-1,076; -16,94
-1,066; -16,8
-1,056; -17,51
-1,046; -16,21
-1,036; -15,07
-1,026; -14,08
-1,016; -13,06
-1,006; -12,89
-0,996; -12,28
-0,986; -12,45
-0,976; -13,16
-0,966; -13,85
-0,956; -16,44
-0,946; -14,66
-0,936; -13,89
-0,926; -13,86
-0,9159; -12,59
-0,9059; -13,25
-0,8959; -13,42
-0,8859; -12,51
-0,8759; -11,17
-0,8659; -10,21
-0,8559; -10,13
-0,8459; -9,957
-0,8359; -9,864
-0,8259; -9,2
-0,8158; -9,049
-0,8058; -8,611
-0,7958; -8,131
-0,7858; -8,23
-0,7758; -7,892
-0,7658; -7,752
-0,7558; -7,421
-0,7458; -7,45
-0,7358; -7,972
-0,7257; -8,987
-0,7157; -9,406
-0,7057; -9,417
-0,6957; -9,019
-0,6857; -8,529
-0,6757; -8,118
-0,6657; -8,011
